Q,Intensity
1.000000000000000000e+00,4.427587182471712842e-04
2.000000000000000000e+00,5.943869698632821307e-05
3.000000000000000000e+00,2.239275622173081626e-05
4.000000000000000000e+00,1.656743840288231795e-05
5.000000000000000000e+00,1.795621649124863966e-05
6.000000000000000000e+00,1.408204963409347291e-05
7.000000000000000000e+00,1.061032195995212222e-05
8.000000000000000000e+00,9.159749695189367880e-06
9.000000000000000000e+00,8.817257781449512239e-06
1.000000000000000000e+01,8.824564108702501175e-06
1.100000000000000000e+01,7.732987623131901673e-06
1.200000000000000000e+01,6.493920858614180043e-06
1.300000000000000000e+01,5.019811774962491510e-06
1.400000000000000000e+01,6.382775657800376896e-06
1.500000000000000000e+01,6.779379389278882562e-06
1.600000000000000000e+01,4.507898355066813675e-06
1.700000000000000000e+01,4.092542534113460611e-06
1.800000000000000000e+01,3.221041666972188316e-06
1.900000000000000000e+01,5.411526250326153339e-06
2.000000000000000000e+01,4.901173819239268785e-06
2.100000000000000000e+01,3.783725862134014044e-06
2.200000000000000000e+01,2.732527288448010953e-06
2.300000000000000000e+01,2.804250568584953148e-06
2.400000000000000000e+01,2.720912657000621014e-06
2.500000000000000000e+01,3.375484796186747076e-06
2.600000000000000000e+01,3.895400098925391269e-06
2.700000000000000000e+01,3.323627701758984973e-06
2.800000000000000000e+01,2.632729200039743475e-06
2.900000000000000000e+01,2.453142428601913922e-06
3.000000000000000000e+01,2.088390173172996335e-06
3.100000000000000000e+01,1.984617324547720912e-06
3.200000000000000000e+01,2.026876804629604409e-06
3.300000000000000000e+01,2.603452512358846609e-06
3.400000000000000000e+01,2.518999520218177367e-06
3.500000000000000000e+01,2.464026889207701862e-06
3.600000000000000000e+01,2.083620251560410686e-06
3.700000000000000000e+01,1.877735531438531264e-06
3.800000000000000000e+01,1.486689641352749308e-06
3.900000000000000000e+01,1.342783038957838164e-06
4.000000000000000000e+01,1.271680629685299386e-06
4.100000000000000000e+01,1.207931335314619975e-06
4.200000000000000000e+01,1.335373575665094635e-06
4.300000000000000000e+01,1.323265053529813674e-06
4.400000000000000000e+01,1.544024664466985843e-06
4.500000000000000000e+01,1.502237515691434076e-06
4.600000000000000000e+01,1.328174203271311814e-06
4.700000000000000000e+01,1.423963937434507985e-06
4.800000000000000000e+01,1.083062389144165533e-06
4.900000000000000000e+01,9.818796996572958945e-07
5.000000000000000000e+01,1.050867881512961699e-06
5.100000000000000000e+01,8.674179183320545301e-07
5.200000000000000000e+01,8.807687152876448868e-07
5.300000000000000000e+01,6.892301525795555138e-07
5.400000000000000000e+01,7.820827449968378977e-07
5.500000000000000000e+01,7.548864850527992294e-07
5.600000000000000000e+01,7.590370874389718807e-07
5.700000000000000000e+01,7.382894804243598490e-07
5.800000000000000000e+01,7.771892292909584069e-07
5.900000000000000000e+01,8.818702216913148891e-07
6.000000000000000000e+01,9.727492078643980828e-07
6.100000000000000000e+01,7.193825239782954929e-07
6.200000000000000000e+01,6.708406579810538797e-07
6.300000000000000000e+01,6.791951063684180678e-07
6.400000000000000000e+01,5.638757113196224796e-07
6.500000000000000000e+01,4.915951716169073707e-07
6.600000000000000000e+01,4.815215035462282932e-07
6.700000000000000000e+01,4.839733205839433870e-07
6.800000000000000000e+01,4.301378588633249091e-07
6.900000000000000000e+01,4.525624644959285413e-07
7.000000000000000000e+01,4.076855821035122248e-07
7.100000000000000000e+01,3.747838537656588880e-07
7.200000000000000000e+01,3.642583896824957782e-07
7.300000000000000000e+01,3.745030315188309820e-07
7.400000000000000000e+01,3.690827462682370987e-07
7.500000000000000000e+01,3.602118205651389583e-07
7.600000000000000000e+01,3.524238433569864753e-07
7.700000000000000000e+01,3.473147351021633189e-07
7.800000000000000000e+01,3.889655051781384616e-07
7.900000000000000000e+01,4.077576607055702675e-07
8.000000000000000000e+01,4.742687881528904745e-07
8.100000000000000000e+01,3.252503386341648187e-07
8.200000000000000000e+01,3.012727572334230558e-07
8.300000000000000000e+01,3.592502257442118955e-07
8.400000000000000000e+01,3.229639418139197596e-07
8.500000000000000000e+01,2.741497793426248227e-07
8.600000000000000000e+01,2.527644790503932093e-07
8.700000000000000000e+01,2.750780707971166992e-07
8.800000000000000000e+01,2.344243130344092105e-07
8.900000000000000000e+01,2.518165325029974469e-07
9.000000000000000000e+01,2.297492452977683877e-07
9.100000000000000000e+01,1.984315179616392657e-07
9.200000000000000000e+01,2.073060797704762953e-07
9.300000000000000000e+01,2.287821865531755687e-07
9.400000000000000000e+01,2.162823025774198862e-07
9.500000000000000000e+01,1.642796061439423036e-07
9.600000000000000000e+01,1.641042709297970907e-07
9.700000000000000000e+01,1.566711011923153462e-07
9.800000000000000000e+01,1.466895322485965153e-07
9.900000000000000000e+01,1.491445649674364405e-07
1.000000000000000000e+02,1.422040844178504396e-07
1.010000000000000000e+02,1.649193633359579789e-07
1.020000000000000000e+02,1.554380333346926342e-07
1.030000000000000000e+02,1.494683864928744656e-07
1.040000000000000000e+02,1.555293556481429209e-07
1.050000000000000000e+02,1.626990183813549114e-07
1.060000000000000000e+02,1.835824737049891526e-07
1.070000000000000000e+02,1.708686704128757946e-07
1.080000000000000000e+02,1.413710044534056628e-07
1.090000000000000000e+02,1.222537412355268193e-07
1.100000000000000000e+02,1.475524521039350142e-07
1.110000000000000000e+02,1.363051826136481862e-07
1.120000000000000000e+02,1.554156213328671616e-07
1.130000000000000000e+02,1.513973830842249349e-07
1.140000000000000000e+02,1.262078745884197666e-07
1.150000000000000000e+02,1.187807745287436520e-07
1.160000000000000000e+02,1.286737349098503591e-07
1.170000000000000000e+02,1.319153164651904237e-07
1.180000000000000000e+02,1.190438418240248418e-07
1.190000000000000000e+02,1.225656404287837528e-07
1.200000000000000000e+02,1.275182993360547004e-07
1.210000000000000000e+02,1.143971591884284841e-07
1.220000000000000000e+02,9.687770749436139439e-08
1.230000000000000000e+02,1.019646046137996919e-07
1.240000000000000000e+02,1.078177417341793131e-07
1.250000000000000000e+02,1.006383897726979306e-07
1.260000000000000000e+02,9.130112103324380016e-08
1.270000000000000000e+02,8.512027608699872011e-08
1.280000000000000000e+02,8.040625211902489744e-08
1.290000000000000000e+02,8.021659847035537776e-08
1.300000000000000000e+02,7.872880483566773063e-08
1.310000000000000000e+02,7.791383592256098497e-08
1.320000000000000000e+02,6.986159275070283771e-08
1.330000000000000000e+02,7.750459482648678781e-08
1.340000000000000000e+02,7.683199504232855688e-08
1.350000000000000000e+02,7.966491542935733659e-08
1.360000000000000000e+02,8.785255985704000722e-08
1.370000000000000000e+02,7.441978617618714638e-08
1.380000000000000000e+02,6.637779602789727002e-08
1.390000000000000000e+02,6.890132171991736533e-08
1.400000000000000000e+02,6.620300256572272543e-08
1.410000000000000000e+02,7.046475175386326643e-08
1.420000000000000000e+02,7.356926215051481593e-08
1.430000000000000000e+02,7.205850496096415703e-08
1.440000000000000000e+02,5.946054130513857821e-08
1.450000000000000000e+02,4.829928334698585120e-08
1.460000000000000000e+02,5.552062706786747749e-08
1.470000000000000000e+02,6.220618629882294792e-08
1.480000000000000000e+02,6.158069041510420671e-08
1.490000000000000000e+02,6.310390643951988758e-08
1.500000000000000000e+02,5.581119256880749006e-08
1.510000000000000000e+02,5.605131059159168246e-08
1.520000000000000000e+02,4.968176767737387875e-08
1.530000000000000000e+02,4.702541307272726315e-08
1.540000000000000000e+02,4.723291002600327745e-08
1.550000000000000000e+02,5.257881053319433248e-08
1.560000000000000000e+02,5.896234774687449443e-08
1.570000000000000000e+02,6.064276431259269169e-08
1.580000000000000000e+02,5.692239984309753613e-08
1.590000000000000000e+02,5.100723969470232512e-08
1.600000000000000000e+02,5.714714081994715012e-08
1.610000000000000000e+02,5.541377387850566693e-08
1.620000000000000000e+02,4.751646398495953618e-08
1.630000000000000000e+02,4.695071902838739712e-08
1.640000000000000000e+02,4.233268334585143456e-08
1.650000000000000000e+02,4.292752825574825839e-08
1.660000000000000000e+02,4.487817127428330872e-08
1.670000000000000000e+02,4.064677692099276858e-08
1.680000000000000000e+02,3.884179796897854968e-08
1.690000000000000000e+02,3.528376404224809531e-08
1.700000000000000000e+02,3.555057391594894219e-08
1.710000000000000000e+02,3.474730272904995009e-08
1.720000000000000000e+02,3.498539354024994353e-08
1.730000000000000000e+02,3.533670832639166599e-08
1.740000000000000000e+02,3.478837058488521577e-08
1.750000000000000000e+02,3.782134907651011748e-08
1.760000000000000000e+02,3.779870111944458316e-08
1.770000000000000000e+02,3.923835331923026725e-08
1.780000000000000000e+02,3.558703448566478037e-08
1.790000000000000000e+02,3.378888723890926191e-08
1.800000000000000000e+02,3.623073534753969634e-08
1.810000000000000000e+02,3.895080119444307212e-08
1.820000000000000000e+02,3.616566312898575650e-08
1.830000000000000000e+02,3.378378826159842823e-08
1.840000000000000000e+02,3.288054247372579551e-08
1.850000000000000000e+02,3.254438885395758194e-08
1.860000000000000000e+02,3.023824715862737241e-08
1.870000000000000000e+02,3.125210525219284140e-08
1.880000000000000000e+02,3.528785251556767714e-08
1.890000000000000000e+02,3.418272189483956902e-08
1.900000000000000000e+02,3.445986581575116572e-08
1.910000000000000000e+02,3.362083450862800560e-08
1.920000000000000000e+02,2.959139964138513156e-08
1.930000000000000000e+02,2.739028271124720279e-08
1.940000000000000000e+02,2.667158408744278981e-08
1.950000000000000000e+02,2.798161247623658257e-08
1.960000000000000000e+02,2.966616674481140552e-08
1.970000000000000000e+02,2.740033462626855763e-08
1.980000000000000000e+02,2.575068277251544340e-08
1.990000000000000000e+02,2.667633737111062956e-08
2.000000000000000000e+02,2.562098653409962964e-08
2.010000000000000000e+02,2.394146186253729027e-08
2.020000000000000000e+02,2.079882536463398598e-08
2.030000000000000000e+02,2.321145674596665513e-08
2.040000000000000000e+02,2.335701142484548040e-08
2.050000000000000000e+02,1.970434815983723874e-08
2.060000000000000000e+02,2.066663614373201379e-08
2.070000000000000000e+02,2.018462516277055085e-08
2.080000000000000000e+02,2.006694418925144542e-08
2.090000000000000000e+02,2.300841330988521300e-08
2.100000000000000000e+02,2.129158570903374035e-08
2.110000000000000000e+02,1.941699848241267006e-08
2.120000000000000000e+02,1.970321241265311980e-08
2.130000000000000000e+02,2.324495519490822652e-08
2.140000000000000000e+02,2.397402622937829078e-08
2.150000000000000000e+02,2.317057986958615665e-08
2.160000000000000000e+02,2.187892811573884706e-08
2.170000000000000000e+02,2.222922922183598363e-08
2.180000000000000000e+02,2.166907399015215419e-08
2.190000000000000000e+02,2.228554366303607806e-08
2.200000000000000000e+02,2.067574071459954033e-08
2.210000000000000000e+02,1.887534603767495319e-08
2.220000000000000000e+02,2.166860303518078838e-08
