Q,Intensity
1.000000000000000000e+00,1.606691131141355739e-05
2.000000000000000000e+00,7.617620050770487656e-06
3.000000000000000000e+00,5.333923154165144114e-06
4.000000000000000000e+00,4.788917206647305073e-06
5.000000000000000000e+00,2.684687697773366119e-06
6.000000000000000000e+00,2.165625230647883542e-06
7.000000000000000000e+00,1.704974048651995849e-06
8.000000000000000000e+00,1.371846933338932859e-06
9.000000000000000000e+00,1.237006998521773725e-06
1.000000000000000000e+01,1.266195234361493246e-06
1.100000000000000000e+01,1.332703842322577387e-06
1.200000000000000000e+01,1.253571916693396771e-06
1.300000000000000000e+01,1.195897097841092930e-06
1.400000000000000000e+01,1.122697050834223011e-06
1.500000000000000000e+01,1.010437620982652434e-06
1.600000000000000000e+01,8.966711732492292422e-07
1.700000000000000000e+01,6.958939614453734062e-07
1.800000000000000000e+01,5.665821451354512958e-07
1.900000000000000000e+01,5.030276105308811664e-07
2.000000000000000000e+01,4.468986924198677516e-07
2.100000000000000000e+01,3.769340390734911872e-07
2.200000000000000000e+01,3.936886756002890581e-07
2.300000000000000000e+01,4.046447196025148322e-07
2.400000000000000000e+01,3.888858465111939156e-07
2.500000000000000000e+01,3.716445076551574874e-07
2.600000000000000000e+01,3.743640136181769506e-07
2.700000000000000000e+01,3.577346895008190069e-07
2.800000000000000000e+01,3.332506289955733545e-07
2.900000000000000000e+01,2.933232919771533634e-07
3.000000000000000000e+01,2.533937147684899053e-07
3.100000000000000000e+01,2.202852921464756778e-07
3.200000000000000000e+01,1.997632107266242302e-07
3.300000000000000000e+01,1.770410091212624376e-07
3.400000000000000000e+01,1.620383199037542478e-07
3.500000000000000000e+01,1.608679855501436179e-07
3.600000000000000000e+01,1.508824708367298750e-07
3.700000000000000000e+01,1.454456387977253607e-07
3.800000000000000000e+01,1.443783591320406602e-07
3.900000000000000000e+01,1.440576683059954882e-07
4.000000000000000000e+01,1.437849760997319148e-07
4.100000000000000000e+01,1.352601749268519629e-07
4.200000000000000000e+01,1.313515518477867897e-07
4.300000000000000000e+01,1.148231260129362866e-07
4.400000000000000000e+01,1.071991517009923550e-07
4.500000000000000000e+01,9.528912606930637411e-08
4.600000000000000000e+01,8.221333609287405011e-08
4.700000000000000000e+01,7.186926762979936600e-08
4.800000000000000000e+01,6.397236694903057976e-08
4.900000000000000000e+01,5.773286810170445944e-08
5.000000000000000000e+01,5.465785363801876791e-08
5.100000000000000000e+01,5.163056962896487663e-08
5.200000000000000000e+01,4.963882283383579823e-08
5.300000000000000000e+01,4.545794981191705512e-08
5.400000000000000000e+01,4.193952482603035254e-08
5.500000000000000000e+01,3.652424317046279790e-08
5.600000000000000000e+01,3.289561480438656710e-08
5.700000000000000000e+01,2.795621750449948253e-08
5.800000000000000000e+01,2.472579645583130037e-08
5.900000000000000000e+01,2.141026728124160701e-08
6.000000000000000000e+01,1.785101649479645406e-08
6.100000000000000000e+01,1.464761835895333328e-08
6.200000000000000000e+01,1.156649170827999393e-08
6.300000000000000000e+01,9.286476792738410720e-09
6.400000000000000000e+01,7.516361120517834823e-09
6.500000000000000000e+01,5.889497125477817463e-09
6.600000000000000000e+01,5.294072383600973998e-09
6.700000000000000000e+01,4.842635196030759209e-09
6.800000000000000000e+01,4.349382264819930004e-09
6.900000000000000000e+01,4.422025450041051813e-09
7.000000000000000000e+01,3.861192561128289876e-09
7.100000000000000000e+01,3.402447920680278930e-09
7.200000000000000000e+01,3.424358807073967929e-09
7.300000000000000000e+01,3.002780028458667810e-09
7.400000000000000000e+01,2.555732867457646727e-09
7.500000000000000000e+01,2.530893418384119288e-09
7.600000000000000000e+01,2.359610147678358718e-09
7.700000000000000000e+01,2.203057419690236706e-09
7.800000000000000000e+01,2.205887244398533971e-09
7.900000000000000000e+01,2.389257416454641611e-09
8.000000000000000000e+01,2.430955009950239245e-09
8.100000000000000000e+01,2.721988501336281704e-09
8.200000000000000000e+01,3.033840791967882885e-09
8.300000000000000000e+01,3.280167387904481859e-09
8.400000000000000000e+01,3.465727883417262454e-09
8.500000000000000000e+01,3.638416939485703299e-09
8.600000000000000000e+01,3.831639481295793706e-09
8.700000000000000000e+01,3.910515786805516898e-09
8.800000000000000000e+01,4.256153032876014020e-09
8.900000000000000000e+01,4.230823700946448494e-09
9.000000000000000000e+01,4.566282642365030396e-09
9.100000000000000000e+01,4.801552402798806309e-09
9.200000000000000000e+01,5.010732604288885284e-09
9.300000000000000000e+01,5.106930937076822621e-09
9.400000000000000000e+01,5.172192967494808964e-09
9.500000000000000000e+01,5.553453193299955195e-09
9.600000000000000000e+01,5.332266668049374615e-09
9.700000000000000000e+01,5.195674721168359573e-09
9.800000000000000000e+01,5.334670791754962671e-09
9.900000000000000000e+01,5.097511615445358970e-09
1.000000000000000000e+02,5.329563286131547924e-09
1.010000000000000000e+02,5.161066283691808628e-09
1.020000000000000000e+02,5.472289997235992455e-09
1.030000000000000000e+02,5.802515185680229798e-09
1.040000000000000000e+02,5.905450084889800909e-09
1.050000000000000000e+02,6.327987382903260946e-09
1.060000000000000000e+02,6.020766218124032330e-09
1.070000000000000000e+02,6.418367632064254887e-09
1.080000000000000000e+02,6.174245595586578770e-09
1.090000000000000000e+02,5.951686235969872193e-09
1.100000000000000000e+02,5.650774087408675309e-09
1.110000000000000000e+02,5.072666230512989268e-09
1.120000000000000000e+02,5.036940205846149273e-09
1.130000000000000000e+02,4.857033960488929905e-09
1.140000000000000000e+02,4.596519732209091706e-09
1.150000000000000000e+02,4.678629167310351750e-09
1.160000000000000000e+02,4.676723746890235904e-09
1.170000000000000000e+02,4.694159556501341945e-09
1.180000000000000000e+02,4.461708046793464228e-09
1.190000000000000000e+02,4.412207223934508189e-09
1.200000000000000000e+02,4.326783243960984330e-09
1.210000000000000000e+02,4.070241442442647394e-09
1.220000000000000000e+02,3.802096546827683839e-09
1.230000000000000000e+02,3.162995025343267549e-09
1.240000000000000000e+02,3.140025342582311756e-09
1.250000000000000000e+02,2.714909863936191763e-09
1.260000000000000000e+02,2.553233642364504429e-09
1.270000000000000000e+02,2.320266631651742757e-09
1.280000000000000000e+02,2.176880941935933178e-09
1.290000000000000000e+02,2.198824361540288104e-09
1.300000000000000000e+02,2.115355226212860760e-09
1.310000000000000000e+02,2.082071715797740341e-09
1.320000000000000000e+02,1.954654028786584802e-09
1.330000000000000000e+02,1.912145275133304707e-09
1.340000000000000000e+02,1.825945682632061903e-09
1.350000000000000000e+02,1.564129098471872717e-09
1.360000000000000000e+02,1.449804536047119600e-09
1.370000000000000000e+02,1.355258190978495453e-09
1.380000000000000000e+02,1.227223597974524542e-09
1.390000000000000000e+02,1.115534271937752238e-09
1.400000000000000000e+02,1.045611147616235280e-09
1.410000000000000000e+02,9.536208558544575599e-10
1.420000000000000000e+02,9.861872036482437165e-10
1.430000000000000000e+02,9.669566538376172938e-10
1.440000000000000000e+02,8.635231271368253762e-10
1.450000000000000000e+02,8.799212941325644119e-10
1.460000000000000000e+02,8.366575251904459498e-10
1.470000000000000000e+02,7.472808499363086338e-10
1.480000000000000000e+02,6.792699783959788014e-10
1.490000000000000000e+02,6.258370852291198512e-10
1.500000000000000000e+02,6.022604346546291614e-10
1.510000000000000000e+02,5.862159226144741982e-10
1.520000000000000000e+02,5.622885079962532038e-10
1.530000000000000000e+02,5.774103829128664948e-10
1.540000000000000000e+02,5.775250122464161330e-10
1.550000000000000000e+02,5.952877829653752405e-10
1.560000000000000000e+02,5.766870626659539328e-10
1.570000000000000000e+02,5.646550834501981441e-10
1.580000000000000000e+02,6.058727650579565233e-10
1.590000000000000000e+02,6.145683100056608079e-10
1.600000000000000000e+02,6.415497811521116065e-10
1.610000000000000000e+02,6.706725900606464833e-10
1.620000000000000000e+02,7.529307038490908208e-10
1.630000000000000000e+02,7.901255928421656399e-10
1.640000000000000000e+02,8.058349201755463319e-10
1.650000000000000000e+02,8.465616173602713475e-10
1.660000000000000000e+02,8.441369464895942720e-10
1.670000000000000000e+02,8.659722410283958218e-10
1.680000000000000000e+02,9.025306279357912530e-10
1.690000000000000000e+02,8.797470610542353012e-10
1.700000000000000000e+02,9.194299735364457579e-10
1.710000000000000000e+02,9.659046608655529223e-10
1.720000000000000000e+02,1.000865041512644620e-09
1.730000000000000000e+02,1.005037947338707311e-09
1.740000000000000000e+02,1.033787293113971180e-09
1.750000000000000000e+02,1.074749079587292370e-09
1.760000000000000000e+02,1.037069201735325426e-09
1.770000000000000000e+02,1.068273293339154888e-09
1.780000000000000000e+02,9.990828653708193513e-10
1.790000000000000000e+02,9.821120370195659120e-10
1.800000000000000000e+02,1.024241492542461612e-09
1.810000000000000000e+02,9.983933527900813801e-10
1.820000000000000000e+02,9.664041755927999989e-10
1.830000000000000000e+02,1.000245820261373694e-09
1.840000000000000000e+02,1.027700568928812205e-09
1.850000000000000000e+02,1.008023961966188940e-09
1.860000000000000000e+02,9.836824811823938293e-10
1.870000000000000000e+02,9.578185514520746820e-10
1.880000000000000000e+02,9.476425659092001176e-10
1.890000000000000000e+02,9.456864636622520172e-10
1.900000000000000000e+02,8.923801592425954460e-10
1.910000000000000000e+02,8.721680677358815349e-10
1.920000000000000000e+02,8.818654611881401214e-10
1.930000000000000000e+02,8.554094940710083127e-10
1.940000000000000000e+02,8.712877744623323032e-10
1.950000000000000000e+02,8.151968405160666344e-10
1.960000000000000000e+02,8.168094697826541702e-10
1.970000000000000000e+02,7.748271868006025940e-10
1.980000000000000000e+02,7.581694100900671857e-10
1.990000000000000000e+02,7.242973907129012955e-10
2.000000000000000000e+02,6.529484002297528387e-10
2.010000000000000000e+02,6.642461461446791545e-10
2.020000000000000000e+02,6.062964643612158055e-10
2.030000000000000000e+02,5.960644691809190008e-10
2.040000000000000000e+02,5.993007105673953878e-10
2.050000000000000000e+02,5.531138293643659484e-10
2.060000000000000000e+02,5.979339563321150898e-10
2.070000000000000000e+02,5.447678563559326894e-10
2.080000000000000000e+02,5.481198253851781116e-10
2.090000000000000000e+02,5.264264797152309204e-10
2.100000000000000000e+02,4.699053266513399917e-10
