Q,Intensity
1.000000000000000000e+00,2.248387351040468957e-03
2.000000000000000000e+00,3.556139281204848297e-04
3.000000000000000000e+00,2.834823217462025913e-04
4.000000000000000000e+00,1.921293819051404631e-04
5.000000000000000000e+00,1.257105539253583688e-04
6.000000000000000000e+00,7.742546621607752845e-05
7.000000000000000000e+00,9.760683780215076173e-05
8.000000000000000000e+00,5.588395927246753788e-05
9.000000000000000000e+00,7.794550234363306726e-05
1.000000000000000000e+01,5.735864639536122976e-05
1.100000000000000000e+01,5.541639488854020149e-05
1.200000000000000000e+01,3.253062453315731502e-05
1.300000000000000000e+01,4.452887777969244247e-05
1.400000000000000000e+01,2.681896106855784914e-05
1.500000000000000000e+01,2.001175330023593254e-05
1.600000000000000000e+01,1.556618428474687246e-05
1.700000000000000000e+01,1.918204644775261327e-05
1.800000000000000000e+01,1.527395663325117526e-05
1.900000000000000000e+01,1.319878525073658940e-05
2.000000000000000000e+01,1.086701858203743479e-05
2.100000000000000000e+01,8.058516803344559532e-06
2.200000000000000000e+01,9.577917365441838236e-06
2.300000000000000000e+01,1.048608463880441770e-05
2.400000000000000000e+01,6.914213985942637584e-06
2.500000000000000000e+01,6.126698298677823402e-06
2.600000000000000000e+01,4.491618208726213325e-06
2.700000000000000000e+01,3.934060197158648938e-06
2.800000000000000000e+01,3.653942148819816797e-06
2.900000000000000000e+01,4.613503860398058884e-06
3.000000000000000000e+01,4.505758661411487747e-06
3.100000000000000000e+01,4.705638121763673049e-06
3.200000000000000000e+01,4.364076515987801250e-06
3.300000000000000000e+01,4.963138401322095112e-06
3.400000000000000000e+01,3.130237148007818730e-06
3.500000000000000000e+01,2.233169764555870529e-06
3.600000000000000000e+01,1.830629533189536091e-06
3.700000000000000000e+01,2.166251614574472082e-06
3.800000000000000000e+01,1.856499953286176721e-06
3.900000000000000000e+01,1.553902800750271136e-06
4.000000000000000000e+01,1.498364759270807110e-06
4.100000000000000000e+01,1.819875760888314884e-06
4.200000000000000000e+01,1.970558701966684647e-06
4.300000000000000000e+01,1.949966374885793770e-06
4.400000000000000000e+01,1.893879932641665184e-06
4.500000000000000000e+01,1.977348411127320130e-06
4.600000000000000000e+01,1.379949060568715705e-06
4.700000000000000000e+01,1.287334739158566539e-06
4.800000000000000000e+01,1.081879986424842079e-06
4.900000000000000000e+01,9.758217034017690045e-07
5.000000000000000000e+01,9.313200918865395334e-07
5.100000000000000000e+01,1.117339206852225051e-06
5.200000000000000000e+01,7.534594214497605610e-07
5.300000000000000000e+01,4.741958611333074931e-07
5.400000000000000000e+01,6.610398861422900526e-07
5.500000000000000000e+01,7.628465026119254482e-07
5.600000000000000000e+01,7.241457234900588847e-07
5.700000000000000000e+01,7.491763745288799785e-07
5.800000000000000000e+01,6.650804723677589304e-07
5.900000000000000000e+01,6.579618117161075428e-07
6.000000000000000000e+01,6.882346791551273562e-07
6.100000000000000000e+01,6.327616782312786488e-07
6.200000000000000000e+01,5.108569518372361252e-07
6.300000000000000000e+01,5.215798877400750294e-07
6.400000000000000000e+01,4.543167240658303773e-07
6.500000000000000000e+01,5.135027040448662771e-07
6.600000000000000000e+01,4.925525124521162831e-07
6.700000000000000000e+01,4.559877895116039517e-07
6.800000000000000000e+01,4.791002970051443627e-07
6.900000000000000000e+01,3.159044772186246606e-07
7.000000000000000000e+01,3.059932097554942517e-07
7.100000000000000000e+01,3.628640899736766196e-07
7.200000000000000000e+01,3.250668166050395279e-07
7.300000000000000000e+01,3.579204023240114839e-07
7.400000000000000000e+01,3.444375219395609071e-07
7.500000000000000000e+01,3.540186262100527708e-07
7.600000000000000000e+01,3.255647538310354542e-07
7.700000000000000000e+01,2.707577226561624029e-07
7.800000000000000000e+01,2.830092891435369387e-07
7.900000000000000000e+01,2.969629306803258199e-07
8.000000000000000000e+01,2.535988120217741726e-07
8.100000000000000000e+01,2.349623217875431065e-07
8.200000000000000000e+01,1.953531554768547691e-07
8.300000000000000000e+01,1.955238666165372709e-07
8.400000000000000000e+01,2.127098024851793339e-07
8.500000000000000000e+01,2.027263982608596245e-07
8.600000000000000000e+01,2.062235157322497607e-07
8.700000000000000000e+01,2.244228931240335024e-07
8.800000000000000000e+01,2.510798094202748696e-07
8.900000000000000000e+01,2.009050856294658928e-07
9.000000000000000000e+01,1.729864744723794057e-07
9.100000000000000000e+01,1.793902477992450057e-07
9.200000000000000000e+01,1.622908920861024203e-07
9.300000000000000000e+01,1.384565034211476441e-07
9.400000000000000000e+01,1.234604097269559120e-07
9.500000000000000000e+01,1.267931154791750180e-07
9.600000000000000000e+01,1.117155467195936244e-07
9.700000000000000000e+01,1.373217540764233075e-07
9.800000000000000000e+01,1.783901795880498563e-07
9.900000000000000000e+01,1.610126947344346761e-07
1.000000000000000000e+02,1.998909948010661941e-07
1.010000000000000000e+02,1.346710301934373956e-07
1.020000000000000000e+02,1.168189516386093497e-07
1.030000000000000000e+02,1.211948027324572794e-07
1.040000000000000000e+02,1.133145132927042385e-07
1.050000000000000000e+02,1.192532377366779234e-07
1.060000000000000000e+02,1.259121098126975083e-07
1.070000000000000000e+02,1.179249925653929202e-07
1.080000000000000000e+02,8.885551353661423708e-08
1.090000000000000000e+02,1.032613632620080501e-07
1.100000000000000000e+02,9.774077831089578383e-08
1.110000000000000000e+02,7.863327665019365598e-08
1.120000000000000000e+02,9.026136582033938281e-08
1.130000000000000000e+02,8.652225557696522442e-08
1.140000000000000000e+02,9.133155257272197875e-08
